LINK_ID,LINKS
1,https://www.macys.com/shop/product/xscape-womens-floral-print-rosette-halter-gown?ID=17659240
2,https://www.macys.com/shop/product/calvin-klein-womens-3-4-sleeve-sheath-dress?ID=17294804
3,https://www.macys.com/shop/product/calvin-klein-womens-tulip-sleeve-midi-dress?ID=16193818
4,https://www.macys.com/shop/product/gloria-vanderbilt-womens-amanda-button-front-shirt?ID=11831590
5,https://www.macys.com/shop/product/tommy-hilfiger-womens-solid-short-sleeve-polo-top?ID=11649535
6,https://www.macys.com/shop/product/gloria-vanderbilt-womens-shape-effect-straight-leg-shorts?ID=17613003
7,https://www.macys.com/shop/product/steve-madden-womens-harlow-notched-collar-blazer?ID=17690729
8,https://www.macys.com/shop/product/womens-black-white-smocked-waist-geo-pants?ID=18038135
9,https://www.macys.com/shop/product/levis-womens-high-rise-wide-leg-ripped-jeans?ID=17389986
10,https://www.macys.com/shop/product/the-north-face-womens-heavyweight-crewneck-sweatshirt?ID=16631001
11,https://www.macys.com/shop/product/dress-the-population-womens-sweetheart-midi-dress?ID=17669569
12,https://www.macys.com/shop/product/tommy-hilfiger-mens-regular-fit-flex-poplin-shirt?ID=17527033
13,https://www.macys.com/shop/product/nike-mens-air-max-2013-casual-sneakers-from-finish-line?ID=17121035
14,https://www.macys.com/shop/product/tommy-hilfiger-mens-modern-fit-th-flex-stretch-chambray-suit-separate-jacket?ID=16771141
15,https://www.macys.com/shop/product/hugo-by-hugo-boss-mens-regular-fit-logo-graphic-t-shirt-created-for-macys?ID=17547940
16,https://www.macys.com/shop/product/cotton-on-mens-cabana-short-sleeve-shirts?ID=17850314
17,https://www.macys.com/shop/product/nike-mens-calm-slide-sandals-from-finish-line?ID=15469912
18,https://www.macys.com/shop/product/the-north-face-mens-thermoball-eco-snow-triclimate-jacket?ID=15433277
19,https://www.macys.com/shop/product/weatherproof-vintage-mens-stonewash-crew-logo-stonewash-sweater?ID=17508384
20,https://www.macys.com/shop/product/nike-mens-air-monarch-iv-training-sneakers-from-finish-line?ID=16391426
21,https://www.macys.com/shop/product/nike-mens-air-monarch-iv-training-sneakers-from-finish-line?ID=16391426
